citation,year,keywords,value,mentions_data,mentions_code,ipums,github_link,dataverse,osf_link,on_request,volume
"Hui Zheng, Yang Yang, Kenneth C. Land; Heterogeneity in the Strehler-Mildvan General Theory of Mortality and Aging. Demography 1 February 2011; 48 (1): 267–290. doi: https://doi.org/10.1007/s13524-011-0013-8",2011,"Strehler-Mildvan theory, Ecological system, Population heterogeneity, Age of expected zero vitality","A third possible explanation is position on the epidemiological transition. Most trajectory 1 and trajectory 2 countries have gone through to the fourth stage of the epidemiological transition; afterward, increases in the age of zero vitality respond slowly to the changes in ecological system. This notion can explain the lack of a nonzero regression relationship between D and B in Fig. 7 for the trajectory 1 and 2 countries. By contrast, trajectory 3 countries are more likely to be in the second or third stage of the epidemiological transition, wherein big increases in the age of zero vitality have been substantially influenced by imported modern medical technology made available through bilateral or international cooperation (Omran 1982) while their national ecological system improves slowly. This may explain the negative relationship between D and B in the trajectory 3 countries. While these explanations can solve the second question, they cannot address the first one: why Central American and Southeast Asian countries have a relatively unfavorable national ecological system but higher estimated ages of expected zero vitality than other countries.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48
"Daniel Goodkind; Child Underreporting, Fertility, and Sex Ratio Imbalance in China. Demography 1 February 2011; 48 (1): 291–316. doi: https://doi.org/10.1007/s13524-010-0007-y",2011,"China, Fertility, Children, Sex ratios, Underreporting, One-child policy","Intercensal comparisons on Fig. 4 grow from the same tradition exemplified by Coale and Banister (1994), who found strong consistency in sex ratios among cohorts reported across censuses taken in 1990 and before. In contrast, the diamonds in Fig. 4 show that sex ratios of births reported in the 1980s were 2 or 3 per 100 above estimates based on children counted at older ages after 1990. In 1989, for instance, although the oft-quoted point estimate from the 1990 census was 111.3, demographic evidence since then consistently suggests that the true ratio was 3 per 100 below that, or about 108.3. Johansson and Nygren (1991) and Zeng et al. (1993) reached a similar conclusion based on other methods and data available at the time. If the normal ratio is 106,12 excess underreporting of daughters accounted for 57% of the reported female birth shortage in 1989 [1–(108.3–106.0)/111.3–106.0)]. Underreporting by sex also varied greatly among China’s provinces,13 so overt sex discrimination cannot fully account for regional variation in reported sex ratios, as one would infer from recent studies that either downplay excess daughter underreporting (Das Gupta, Chung, and Li 2009; Zhu et al. 2009) or do not consider it (Attane 2009; Ebenstein 2010).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48
"Brienna Perelli-Harris, Theodore P. Gerber; Nonmarital Childbearing in Russia: Second Demographic Transition or Pattern of Disadvantage?. Demography 1 February 2011; 48 (1): 317–342. doi: https://doi.org/10.1007/s13524-010-0001-4",2011,"Nonmarital childbearing, Cohabitation, Fertility, Single mothers, Russia",NA,NA,NA,NA,NA,NA,NA,TRUE,48
Sylvestre Gaudin; Son Preference in Indian Families: Absolute Versus Relative Wealth Effects. Demography 1 February 2011; 48 (1): 343–370. doi: https://doi.org/10.1007/s13524-010-0006-z,2011,"Gender, India, Multilevel model, Relative wealth, Son preference",NA,NA,NA,NA,NA,NA,NA,FALSE,48
Emilio Zagheni; The Leverage of Demographic Dynamics on Carbon Dioxide Emissions: Does Age Structure Matter?. Demography 1 February 2011; 48 (1): 371–399. doi: https://doi.org/10.1007/s13524-010-0004-1,2011,"CO2 emissions, Climate change, IPAT, Input-output models, Population age structure","I analyze consumption patterns for a set of goods for which data are available through the CES and for which embedded CO2 emissions are among the highest (see, e.g., Bin and Dowlatabadi 2005). The empirical analysis is not intended to provide an exhaustive account of all consumption categories in the economy and the associated CO2 emissions. It should be thought of as an illustration of the methodology that I presented in the previous sections on a specific set of consumption goods. However, such goods, although not representative of the whole economy, have been chosen according to their importance in terms of CO2 emissions and provide a general picture of the overall trend in CO2 emissions for the United States.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48
"Pratikshya Bohra-Mishra, Douglas S. Massey; Individual Decisions to Migrate During Civil Conflict. Demography 1 May 2011; 48 (2): 401–424. doi: https://doi.org/10.1007/s13524-011-0016-5",2011,"Nepal, Violence, Migration, Emigration","Perhaps the most important intervening factor influencing the migration decision is social capital, a term coined by Loury in 1977 and expanded by Bourdieu in 1986 to refer to resources available through membership in social networks and organizations. A social tie to a current or former migrant constitutes a potential source of social capital because someone with migratory experience can provide information, resources, and assistance to lower the costs of movement of a potential migrant (Massey et al. 1998). In our analysis, we measure social capital by introducing three dummy variables to indicate whether the respondent had at least one member in his or her household who had, in 1996, migrated within Chitwan, to other districts in Nepal, or to other countries. Irrespective of the level of violence, we expect to observe strong destination-specific effects of social capital on migration, with ties to international migrants predicting international migration, ties to internal migrants predicting internal migration, and ties to local migrants predicting migration within Chitwan.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49
Miguel Ceballos; Simulating the Effects of Acculturation and Return Migration on the Maternal and Infant Health of Mexican Immigrants in the United States: A Research Note. Demography 1 May 2011; 48 (2): 425–436. doi: https://doi.org/10.1007/s13524-011-0017-4,2011,"Acculturation, Selection, Return migration, Immigration, Maternal health",NA,NA,NA,NA,NA,NA,NA,TRUE,49
"Kevin J. A. Thomas; Familial Influences on Poverty Among Young Children in Black Immigrant, U.S.-born Black, and Nonblack Immigrant Families. Demography 1 May 2011; 48 (2): 437–460. doi: https://doi.org/10.1007/s13524-011-0018-3",2011,"Immigration, Race, Children, Poverty",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Brian L. Rostron, John R. Wilmoth; Estimating the Effect of Smoking on Slowdowns in Mortality Declines in Developed Countries. Demography 1 May 2011; 48 (2): 461–479. doi: https://doi.org/10.1007/s13524-011-0020-9",2011,"Mortality, Smoking, Life expectancy",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Michael S. Rendall, Margaret M. Weden, Melissa M. Favreault, Hilary Waldron; The Protective Effect of Marriage for Survival: A Review and Update. Demography 1 May 2011; 48 (2): 481–506. doi: https://doi.org/10.1007/s13524-011-0032-5",2011,"Mortality, Marital status, Gender, Age",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Gerard J. van den Berg, Gabriele Doblhammer-Reiter, Kaare Christensen; Being Born Under Adverse Economic Conditions Leads to a Higher Cardiovascular Mortality Rate Later in Life: Evidence Based on Individuals Born at Different Stages of the Business Cycle. Demography 1 May 2011; 48 (2): 507–530. doi: https://doi.org/10.1007/s13524-011-0021-8",2011,"Longevity, Genetic determinants, Health, Recession, Developmental origins",NA,NA,NA,NA,NA,NA,NA,TRUE,49
"Philippe Bocquier, Nyovani Janet Madise, Eliya Msiyaphazi Zulu; Is There an Urban Advantage in Child Survival in Sub-Saharan Africa? Evidence From 18 Countries in the 1990s. Demography 1 May 2011; 48 (2): 531–558. doi: https://doi.org/10.1007/s13524-011-0019-2",2011,"Sub-Saharan Africa, Child mortality, Migration, Urban, rural, Rural-Urban","Under-5 mortality rates as published by DHS vary from 105 per 1,000 live births in Kenya to 303 in Niger across the 18 countries (see Table 2). The weighted average rate is 160 per 1,000 in these countries, with an urban rate of 118 and a rural rate of 173. In this article, we calculate infant and child mortality rates for the 10-year period before the survey, and hence, the analyses in this article pertain roughly to the conditions prevailing in the early 1990s. Information on the duration of stay in the current place of residence (urban or rural) and on the previous place of residence of the mother is available through two questions asked in the women’s questionnaire: “How long have you been living continuously in (name of locality, town or city of current residence)?” and “Just before you moved here, did you live in a city, in a town, or in the countryside?” We use this information to estimate infant and child mortality rates that are adjusted for migration status. The age at death is computed in months, and censoring time is also computed in months. The month and year of birth for children are available for 85% of children. The lowest percentages with complete details on date of birth are found in Benin (52%), Togo (67%), Mozambique (71%), and Senegal (75%), and the percentage varies between 84% and 98% in the other 14 countries. In the DHS, the age at death is supposed to be recorded in months before the age of 1, and in years thereafter. In some countries, age at death is recorded in months before the age of 2. Age heaping (rounding of reported ages to completed years) is very common at 12 and 24 months. ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49
"Belinda Aparicio Diaz, Thomas Fent, Alexia Prskawetz, Laura Bernardi; Transition to Parenthood: The Role of Social Interaction and Endogenous Networks. Demography 1 May 2011; 48 (2): 559–579. doi: https://doi.org/10.1007/s13524-011-0023-6",2011,"Fertility, Education, Social influence, Social networks, Agent-based modeling",NA,NA,NA,NA,NA,NA,NA,FALSE,49
Nicholas H. Wolfinger; More Evidence for Trends in the Intergenerational Transmission of Divorce: A Completed Cohort Approach Using Data From the General Social Survey. Demography 1 May 2011; 48 (2): 581–592. doi: https://doi.org/10.1007/s13524-011-0025-4,2011,"Divorce, Divorce transmission, Divorce cycle",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Jacinda K. Dariotis, Joseph H. Pleck, Nan M. Astone, Freya L. Sonenstein; Pathways of Early Fatherhood, Marriage, and Employment: A Latent Class Growth Analysis. Demography 1 May 2011; 48 (2): 593–623. doi: https://doi.org/10.1007/s13524-011-0022-7",2011,"Early fatherhood, Young fathers, Men’s employment, Marriage","Finally, for Hypothesis 5 (disadvantage decreases with age), we compare results for the subset of later-life correlates that are available at both age 26 and age 37.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49
"Jacinda K. Dariotis, Joseph H. Pleck, Nan M. Astone, Freya L. Sonenstein; Pathways of Early Fatherhood, Marriage, and Employment: A Latent Class Growth Analysis. Demography 1 May 2011; 48 (2): 593–623. doi: https://doi.org/10.1007/s13524-011-0022-7",2011,"Early fatherhood, Young fathers, Men’s employment, Marriage","We hypothesize that the later-life disadvantage associated with early fatherhood decreases over the life course, as it does for early motherhood. We evaluate this hypothesis by comparing results for the subset of later-life correlates that are available at both age 26 and age 37: earnings, earnings per child, and current marital status. For earnings, the disparities between each early fatherhood pathway and On-Time On-Sequence Fathers (calculated from Table 9) are greater at age 37 than at age 26: $2,937 vs. $1,041 for Young Married Fathers; $9,511 vs. $1,468 for Teen Married Fathers; $29,465 vs. $12,139 for Young Underemployed Married Fathers; $31,220 vs. $10,296 for Young Underemployed Single Fathers; and $16,184 vs. $6,845 for Young Later-Marrying Fathers. The same holds true for earnings per child: $4,091 vs. $2,838 for Young Married Fathers; $7,123 vs. $5,700 for Teen Married Fathers; $16,060 vs. $12,520 for Young Underemployed Married Fathers; $15,176 vs. $10,080 for Young Underemployed Single Fathers; and $7,941 vs. $5,135 for Young Later-Marrying Fathers.6",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49
"Melissa Scharoun-Lee, Penny Gordon-Larsen, Linda S. Adair, Barry M. Popkin, Jay S. Kaufman, Chirayath M. Suchindran; Intergenerational Profiles of Socioeconomic (Dis)advantage and Obesity During the Transition to Adulthood. Demography 1 May 2011; 48 (2): 625–651. doi: https://doi.org/10.1007/s13524-011-0024-5",2011,"Social class, Life course, Latent class analysis, Young adults, United States",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Fred C. Pampel, Justin T. Denney; Cross-National Sources of Health Inequality: Education and Tobacco Use in the World Health Survey. Demography 1 May 2011; 48 (2): 653–674. doi: https://doi.org/10.1007/s13524-011-0027-2",2011,"Health inequality, SES, Tobacco use, Cross-national, Education",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Anne Case, Christina Paxson; The Impact of the AIDS Pandemic on Health Services in Africa: Evidence from Demographic and Health Surveys. Demography 1 May 2011; 48 (2): 675–697. doi: https://doi.org/10.1007/s13524-011-0026-3",2011,"AIDS, Health services, DHS, Sub-Saharan Africa","Grépin (2009) examined whether the influx of foreign aid earmarked to HIV and AIDS exacerbated a diversion of resources away from non-AIDS health care. Using data from 1990 to 2006, she found a negative association between country’s receipt of foreign aid for HIV and AIDS and measures of the quality of care. However, it is unlikely that the expansion of AIDS-targeted foreign aid explains a large part of what we see in our data. Grépin’s numbers indicated that foreign aid for AIDS grew little until the year 2000 and then escalated rapidly as funds for ART became available through the President’s Emergency Plan for AIDS Relief (PEPFAR) and other programs. This pattern is consistent with increases in access to ART. The number of people in sub-Saharan Africa receiving ART is estimated to have been only 100,000 in 2003, but then rose to 1.375 million in 2006 and to 2.12 million in 2007 (World Health Organization 2008). Our results indicate that the divergence in antenatal care and immunizations between high- and low-AIDS regions began in the early- to mid-1990s, before foreign aid for AIDS was significant and when very few Africans were receiving ART. The expansion of ART is so recent that the data needed to examine its effects on health services are not yet available.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49
"George B. Ploubidis, Emily Grundy; Health Measurement in Population Surveys: Combining Information from Self-reported and Observer-Measured Health Indicators. Demography 1 May 2011; 48 (2): 699–724. doi: https://doi.org/10.1007/s13524-011-0028-1",2011,"Health measurement, Self-rated health, Biomarkers, Measurement error, Socioeconomic position",NA,NA,NA,NA,NA,NA,NA,FALSE,49
"Thomas DeLeire, Leonard M. Lopoo, Kosali I. Simon; Medicaid Expansions and Fertility in the United States. Demography 1 May 2011; 48 (2): 725–747. doi: https://doi.org/10.1007/s13524-011-0031-6",2011,"Medicaid, Fertility",NA,NA,NA,NA,NA,NA,NA,TRUE,49
"Jaikishan Desai, Alessandro Tarozzi; Microcredit, Family Planning Programs, and Contraceptive Behavior: Evidence From a Field Experiment in Ethiopia. Demography 1 May 2011; 48 (2): 749–782. doi: https://doi.org/10.1007/s13524-011-0029-0",2011,"Family planning, Microcredit, Randomized controlled trial, Community health workers, Ethiopia",NA,NA,NA,NA,NA,NA,NA,TRUE,49
Avraham Ebenstein; Estimating a Dynamic Model of Sex Selection in China. Demography 1 May 2011; 48 (2): 783–811. doi: https://doi.org/10.1007/s13524-011-0030-7,2011,"Sex-selective abortion, China, One-child policy, Dynamic programming",NA,NA,NA,NA,NA,NA,NA,TRUE,49
"Leontine Alkema, Adrian E. Raftery, Patrick Gerland, Samuel J. Clark, François Pelletier, Thomas Buettner, Gerhard K. Heilig; Probabilistic Projections of the Total Fertility Rate for All Countries. Demography 1 August 2011; 48 (3): 815–839. doi: https://doi.org/10.1007/s13524-011-0040-5",2011,"Autoregressive model, Bayesian hierarchical model, Fertility projection methodology, Markov chain Monte Carlo, United Nations World Population Prospects",NA,NA,NA,NA,NA,NA,NA,FALSE,50
Máire Ní Bhrolcháin; Tempo and the TFR. Demography 1 August 2011; 48 (3): 841–861. doi: https://doi.org/10.1007/s13524-011-0033-4,2011,"Measurement, Period fertility, Total fertility rate, Tempo adjustment, Forecasting",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Jennie E. Brand, Dwight Davis; The Impact of College Education on Fertility: Evidence for Heterogeneous Effects. Demography 1 August 2011; 48 (3): 863–887. doi: https://doi.org/10.1007/s13524-011-0034-3",2011,"College education, Fertility, Causality, Heterogeneity, NLSY",NA,NA,NA,NA,NA,NA,NA,TRUE,50
"Anne McDaniel, Thomas A. DiPrete, Claudia Buchmann, Uri Shwed; The Black Gender Gap in Educational Attainment: Historical Trends and Racial Comparisons. Demography 1 August 2011; 48 (3): 889–914. doi: https://doi.org/10.1007/s13524-011-0037-0",2011,"Gender, Educational attainment, Black/African American, Race","In June 2007, then–U.S. Presidential candidate Barack Obama made this comment at an NAACP Democratic Candidate Forum (Dobbs 2007). The statement was incorrect; in fact, the latest data available at the time indicated that two-and-one-half times as many young black men aged 18–24 were enrolled in college than in prison,1 but this misstatement is a prime example of the prevalent perception of a crisis in the education of black males in America. These concerns are echoed in a growing literature on black males’ education (Davis 2003; Downey 2008; Lopez 2003; Mandara 2006; Ogbu 2003; Reynolds and Burge 2008), including a recent issue of the American Behavioral Scientist devoted to the African American male crisis in education (Jackson and Moore 2008). According to a special report on “The Ominous Gender Gap in African American Higher Education” in the Journal of Blacks in Higher Education, “if we project into the future the losses that black men have consistently logged over the past twenty years, by the year 2097, women will earn all the bachelor’s degrees awarded to blacks in the United States” (Cross 1999:6).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,50
Jürgen Maurer; Education and Male-Female Differences in Later-Life Cognition: International Evidence From Latin America and the Caribbean. Demography 1 August 2011; 48 (3): 915–930. doi: https://doi.org/10.1007/s13524-011-0048-x,2011,"Education, Later-life cognition, Male-female differences, Oaxaca-Blinder decomposition, Latin America and the Caribbean",NA,NA,NA,NA,NA,NA,NA,FALSE,50
Kevin Stange; A Longitudinal Analysis of the Relationship Between Fertility Timing and Schooling. Demography 1 August 2011; 48 (3): 931–956. doi: https://doi.org/10.1007/s13524-011-0050-3,2011,"Fertility timing, Educational attainment, Matching",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Maria Cancian, Daniel R. Meyer, Steven T. Cook; The Evolution of Family Complexity from the Perspective of Nonmarital Children. Demography 1 August 2011; 48 (3): 957–982. doi: https://doi.org/10.1007/s13524-011-0041-4",2011,"Family complexity, Multiple-partner fertility, Nonmarital fertility",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Jonathan Vespa, Matthew A. Painter; Cohabitation History, Marriage, and Wealth Accumulation. Demography 1 August 2011; 48 (3): 983–1004. doi: https://doi.org/10.1007/s13524-011-0043-2",2011,"Marriage, Cohabitation, Race/ethnicity, Wealth, Multilevel growth curve models",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Ariel Kalil, Magne Mogstad, Mari Rege, Mark Votruba; Divorced Fathers’ Proximity and Children’s Long-Run Outcomes: Evidence From Norwegian Registry Data. Demography 1 August 2011; 48 (3): 1005–1027. doi: https://doi.org/10.1007/s13524-011-0046-z",2011,"Child development, Divorce, Fathers’ proximity, Long-run outcomes, Relocation",NA,NA,NA,NA,NA,NA,NA,TRUE,50
"Victor Agadjanian, Scott T. Yabiku, Boaventura Cau; Men’s Migration and Women’s Fertility in Rural Mozambique. Demography 1 August 2011; 48 (3): 1029–1048. doi: https://doi.org/10.1007/s13524-011-0039-y",2011,"Fertility, Labor migration, Sub-Saharan Africa, Mozambique, Contraception",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Michael S. Rendall, Peter Brownell, Sarah Kups; Declining Return Migration From the United States to Mexico in the Late-2000s Recession: A Research Note. Demography 1 August 2011; 48 (3): 1049–1058. doi: https://doi.org/10.1007/s13524-011-0049-9",2011,"Return migration, International migration surveys, Mexican immigrants",NA,NA,NA,NA,NA,NA,NA,FALSE,50
Emilio A. Parrado; How High is Hispanic/Mexican Fertility in the United States? Immigration and Tempo Considerations. Demography 1 August 2011; 48 (3): 1059–1080. doi: https://doi.org/10.1007/s13524-011-0045-0,2011,"Hispanics, Fertility, Immigration, Assimilation, Projections",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Michel Guillot, Natalia Gavrilova, Tetyana Pudrovska; Understanding the “Russian Mortality Paradox” in Central Asia: Evidence from Kyrgyzstan. Demography 1 August 2011; 48 (3): 1081–1104. doi: https://doi.org/10.1007/s13524-011-0036-1",2011,"Adult mortality, Central Asia, Kyrgyzstan, Alcohol, Former Soviet Union",NA,NA,NA,NA,NA,NA,NA,FALSE,50
Theodore D. Fuller; Moderate Alcohol Consumption and the Risk of Mortality. Demography 1 August 2011; 48 (3): 1105–1125. doi: https://doi.org/10.1007/s13524-011-0035-2,2011,"Alcohol consumption, Mortality, Coronary heart disease mortality, Sex differences",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"William G. Axinn, Cynthia F. Link, Robert M. Groves; Responsive Survey Design, Demographic Data Collection, and Models of Demographic Behavior. Demography 1 August 2011; 48 (3): 1127–1149. doi: https://doi.org/10.1007/s13524-011-0044-1",2011,"Data collection, Surveys, Fertility, Marriage, NSFG",NA,NA,NA,NA,NA,NA,NA,FALSE,50
"Nancy Luke, Shelley Clark, Eliya M. Zulu; The Relationship History Calendar: Improving the Scope and Quality of Data on Youth Sexual Behavior. Demography 1 August 2011; 48 (3): 1151–1176. doi: https://doi.org/10.1007/s13524-011-0051-2",2011,"Survey methodology, Sexual behavior, Condom use, Life history calendar, Data collection","Given that the principal investigators, study director, and supervisors encouraged interviewers to complete at least four questionnaires per interviewer per day in the field, it appears that when time was available at the end of each day, interviewers—particularly female interviewers—completed an additional SPQ interview.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,50
"Hope Corman, Kelly Noonan, Nancy E. Reichman, Ofira Schwartz-Soicher; Life Shocks and Crime: A Test of the “Turning Point” Hypothesis. Demography 1 August 2011; 48 (3): 1177–1202. doi: https://doi.org/10.1007/s13524-011-0042-3",2011,"Crime, Incarceration, Turning points, Child health",NA,NA,NA,NA,NA,NA,NA,TRUE,50
"Sapna Swaroop, Maria Krysan; The Determinants of Neighborhood Satisfaction: Racial Proxy Revisited. Demography 1 August 2011; 48 (3): 1203–1229. doi: https://doi.org/10.1007/s13524-011-0047-y",2011,"Segregation, Residential preferences, Neighborhood satisfaction","In the models that use the subsample of CAS respondents who reside within Chicago’s city limits, we use a single measure of racial composition: the linear percentage of white residents in the block group. We employ this strategy because using categorical measures with the smaller sample (n = 392) yields cell sizes that are too small to effectively analyze.7 In addition, the 2006 National Neighborhood Crime Study (Peterson and Krivo 2006) provides a measure of the neighborhood crime rate, which is the sum of the three-year average (between 1999 and 2001) rates of violent crime and property crime. Violent crime includes homicides, rapes, robberies, and aggravated assaults. Property crime includes burglaries, larcenies, and motor vehicle thefts. Because information about the local crime rate is unavailable at the block-group level, we use the crime rate for respondents’ census tract in this analysis. Data drawn from the 2002 Chicago Public Schools Report Cards provides a measure of the percentage of students in a respondent’s city-assigned elementary school who were at or above the national average reading score on the Iowa Test for Basic Skills (Chicago Public Schools Office of Performance 2002). Table 6 in Online Resource 1 presents descriptive statistics for respondents from the full sample of the Chicago Area Study.8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50
David Lam; How the World Survived the Population Bomb: Lessons From 50 Years of Extraordinary Demographic History. Demography 1 November 2011; 48 (4): 1231–1262. doi: https://doi.org/10.1007/s13524-011-0070-z,2011,"Population growth, Demographic transition, Poverty, Resources, Food","The main source of population estimates and projections in this article is the 2010 Revision of World Population Prospects (United Nations Population Division 2011). Details about the assumptions in the low-, medium-, and high-variant projections are available at the United Nations Population Division (2011) website.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51
"Scott J. South, Kyle Crowder, Jeremy Pais; Metropolitan Structure and Neighborhood Attainment: Exploring Intermetropolitan Variation in Racial Residential Segregation. Demography 1 November 2011; 48 (4): 1263–1292. doi: https://doi.org/10.1007/s13524-011-0062-z",2011,"Neighborhood, Race, Metropolitan area, Segregation, Stratification",NA,NA,NA,NA,NA,NA,NA,FALSE,51
"Yu Xie, Margaret Gough; Ethnic Enclaves and the Earnings of Immigrants. Demography 1 November 2011; 48 (4): 1293–1315. doi: https://doi.org/10.1007/s13524-011-0058-8",2011,"Ethnic enclaves, Immigrants, Assimilation, Earnings",NA,NA,NA,NA,NA,NA,NA,TRUE,51
